datetime,date,time,temp,feels_like,temp_min,temp_max,humidity,pressure,weather,weather_desc,clouds,wind_speed,wind_deg
2025-06-23 14:30:00,2025-06-23,14:30,33.49,35.57,33.49,34.36,44,1006,Clouds,overcast clouds,100,11.29,283
2025-06-23 17:30:00,2025-06-23,17:30,31.86,32.82,31.27,31.86,44,1005,Clouds,overcast clouds,100,9.0,282
2025-06-23 20:30:00,2025-06-23,20:30,27.76,28.19,27.76,27.76,50,1007,Clouds,overcast clouds,98,8.94,287
2025-06-23 23:30:00,2025-06-23,23:30,27.39,28.34,27.39,27.39,57,1008,Clouds,overcast clouds,99,7.24,275
2025-06-24 02:30:00,2025-06-24,02:30,26.8,27.96,26.8,26.8,62,1006,Clouds,overcast clouds,100,7.53,278
2025-06-24 05:30:00,2025-06-24,05:30,28.87,30.39,28.87,28.87,57,1006,Clouds,overcast clouds,100,6.74,280
2025-06-24 08:30:00,2025-06-24,08:30,30.56,30.92,30.56,30.56,44,1008,Clouds,overcast clouds,100,8.56,272
2025-06-24 11:30:00,2025-06-24,11:30,34.76,34.97,34.76,34.76,33,1007,Clouds,overcast clouds,100,10.45,278
2025-06-24 14:30:00,2025-06-24,14:30,35.55,35.71,35.55,35.55,31,1005,Clouds,scattered clouds,45,10.81,285
2025-06-24 17:30:00,2025-06-24,17:30,33.3,34.04,33.3,33.3,39,1005,Clouds,broken clouds,64,9.17,285
2025-06-24 20:30:00,2025-06-24,20:30,30.32,30.6,30.32,30.32,44,1008,Clouds,overcast clouds,90,7.44,284
2025-06-24 23:30:00,2025-06-24,23:30,28.49,29.35,28.49,28.49,53,1008,Clouds,overcast clouds,95,7.42,286
2025-06-25 02:30:00,2025-06-25,02:30,27.48,28.53,27.48,27.48,58,1006,Clouds,broken clouds,69,7.45,279
2025-06-25 05:30:00,2025-06-25,05:30,27.28,28.28,27.28,27.28,58,1007,Clouds,broken clouds,70,7.14,284
2025-06-25 08:30:00,2025-06-25,08:30,30.99,31.36,30.99,30.99,43,1008,Clouds,scattered clouds,32,8.8,275
2025-06-25 11:30:00,2025-06-25,11:30,35.06,35.68,35.06,35.06,34,1007,Clouds,broken clouds,64,9.64,281
2025-06-25 14:30:00,2025-06-25,14:30,36.35,36.97,36.35,36.35,31,1004,Clouds,scattered clouds,45,9.18,281
2025-06-25 17:30:00,2025-06-25,17:30,34.26,35.12,34.26,34.26,37,1004,Clouds,broken clouds,59,9.45,278
2025-06-25 20:30:00,2025-06-25,20:30,30.41,31.17,30.41,30.41,47,1007,Clouds,scattered clouds,40,9.3,283
2025-06-25 23:30:00,2025-06-25,23:30,28.93,29.81,28.93,28.93,52,1008,Clouds,broken clouds,68,8.9,285
2025-06-26 02:30:00,2025-06-26,02:30,28.05,28.99,28.05,28.05,55,1006,Clouds,overcast clouds,100,8.64,282
2025-06-26 05:30:00,2025-06-26,05:30,27.35,28.21,27.35,27.35,56,1007,Clouds,overcast clouds,100,7.65,276
2025-06-26 08:30:00,2025-06-26,08:30,29.94,30.66,29.94,29.94,48,1009,Clouds,overcast clouds,100,9.03,283
2025-06-26 11:30:00,2025-06-26,11:30,34.37,35.3,34.37,34.37,37,1007,Clouds,overcast clouds,100,9.37,283
2025-06-26 14:30:00,2025-06-26,14:30,35.81,36.91,35.81,35.81,34,1005,Clouds,broken clouds,80,8.51,281
2025-06-26 17:30:00,2025-06-26,17:30,33.33,34.54,33.33,33.33,41,1005,Clouds,overcast clouds,88,8.52,265
2025-06-26 20:30:00,2025-06-26,20:30,30.06,31.14,30.06,30.06,50,1008,Rain,light rain,97,9.19,282
2025-06-26 23:30:00,2025-06-26,23:30,28.08,29.46,28.08,28.08,59,1008,Rain,light rain,98,7.87,282
2025-06-27 02:30:00,2025-06-27,02:30,27.13,28.4,27.13,27.13,62,1006,Clouds,overcast clouds,100,6.25,284
2025-06-27 05:30:00,2025-06-27,05:30,26.94,28.15,26.94,26.94,62,1007,Clouds,overcast clouds,97,6.41,279
2025-06-27 08:30:00,2025-06-27,08:30,28.92,30.06,28.92,28.92,54,1008,Clouds,overcast clouds,95,6.46,280
2025-06-27 11:30:00,2025-06-27,11:30,34.69,35.83,34.69,34.69,37,1007,Clouds,overcast clouds,94,6.89,289
2025-06-27 14:30:00,2025-06-27,14:30,36.74,37.61,36.74,36.74,31,1005,Clouds,broken clouds,76,7.55,284
2025-06-27 17:30:00,2025-06-27,17:30,35.47,36.61,35.47,35.47,35,1005,Clouds,broken clouds,74,6.92,266
2025-06-27 20:30:00,2025-06-27,20:30,30.44,31.89,30.44,30.44,51,1008,Clouds,overcast clouds,96,9.56,287
2025-06-27 23:30:00,2025-06-27,23:30,28.42,29.6,28.42,28.42,56,1009,Clouds,overcast clouds,90,7.41,278
2025-06-28 02:30:00,2025-06-28,02:30,27.36,28.55,27.36,27.36,60,1007,Clouds,overcast clouds,95,6.17,286
2025-06-28 05:30:00,2025-06-28,05:30,26.99,28.14,26.99,26.99,61,1007,Clouds,overcast clouds,96,6.91,283
2025-06-28 08:30:00,2025-06-28,08:30,29.6,30.92,29.6,29.6,53,1009,Clouds,overcast clouds,100,7.9,281
2025-06-28 11:30:00,2025-06-28,11:30,34.33,35.48,34.33,34.33,38,1007,Clouds,overcast clouds,98,6.74,282
